Country,%Annual_Growth_imports_goods_services,%Access_Electricity,%Land_Arable,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total).csv",CO2_Metric_tons_/capita,External_debt_stock_%GNI,Fertility_rate_births/woman,/Capita_GDP_Growth(annual),Govt_Expenditure_Education(%GDP),Adult_female_literacy_rate(15 + up),"Literacy rate, adult male (% of males ages 15 and above)",Net migration,Population growth (annual %),Renewable energy consumption (% of total final energy consumption),trade%gdp,Agricultural Land (%Land),"Agriculture, Forest,Fishing, Value Added (%) GDP)",Children in Employment (% Male),High-tech Exports ($),"Industry, Value Added (%GDP)",Population in Slums (% Urban Population),Rural population (% total Population),"School enrollment, primary and secondary (gross), gender parity index",Urban Population (% of total population),Gini
KM,1.413699258,81.92275238,34.92745721,44.07133812,0.253503052,25.5736821,4.205,1.140509904,2.545059919,52.95639038,64.64420319,268179.1,2.205877437,45.33305239,42.07566719,71.46695091,33.07157522,21,834198,8.853911468,68.40000153,602734,1.022899985,29.164,45.3
CG,5.562237095,68.51843262,1.610541728,51.96721583,0.65889694,64.82385128,4.428,3.400525489,3.511049986,74.61875916,86.07650757,91771,2.562900803,62.40211902,122.2494296,31.11859444,7.784656909,31.4,31263357,50.35756024,47.79999924,1755498,1.003340006,67.373,48.9
CD,4.739799213,18.97766113,3.131823295,56.18278095,0.025644617,11.10570891,5.919,1.110159506,1.454949975,66.49997711,88.52468872,119303,3.187086302,95.81769971,63.1738408,11.55686906,19.96523389,39.15632058,16399628226,40.73373984,77.5,47694888,0.889490008,45.046,42.1
CR,0.082750211,100,4.847238543,7.128495366,1.637646665,51.25079546,1.754,1.110597648,7.048759937,97.92443085,97.80235291,21000,0.957905014,38.73341388,66.02250009,34.45945946,4.243557049,1.94,1154572220,18.46033524,3.900000095,1005676,1.041319966,80.076,48
CI,1.230916422,66.99118042,9.119496855,54.3054201,0.406063977,33.6675453,4.649,3.557735162,3.256030083,40.49937057,53.65694046,268179.1,2.549336239,64.52802565,46.40091446,64.77987421,20.67122108,36.6,141822739,21.18727272,60.09999847,12539644,0.884140015,51.239,41.5
HR,6.34723443,100,15.58255897,3.396394081,4.189377314,51.53456,1.47,3.373359682,3.917129993,98.66590881,99.62970734,268179.1,0.023523124,33.12746664,104.1709915,27.59113653,2.920006027,21,954203937,20.26115585,33.338,1738221,1.032649994,57.242,30.4
CY,1.951250049,100,9.159090612,4.791724617,5.662572734,51.53456,1.329,1.860235753,5.777190208,98.1162262,99.28614807,25000,0.779788192,9.942066016,144.8161125,12.15692661,1.735895426,21,92911881,12.70802145,33.338,397867,0.983219981,66.805,31.4
CZ,1.371878877,100,32.2973323,5.827791344,9.673898662,51.53456,1.71,1.953761769,3.854020119,99.86843109,99.7958374,110057,0.373537317,14.82856195,142.7561654,45.18259518,1.934204584,21,37834284166,31.43260317,33.338,2783117,1.004989982,73.921,24.9
DK,2.439620642,100,56.56108597,6.826140097,5.549144642,51.53456,1.73,2.409078245,7.816080093,4.49542,87.8896,75998,0.429153164,33.17027717,109.2924316,62.01476542,1.328104617,21,9581327558,21.11962893,0.001,698080,0.999819994,87.994,28.7
DJ,6.711264123,60.39544678,0.086281277,37.41382335,0.6670057,79.00194888,2.728,6.149888276,3.627739906,4.49542,87.8896,4501,1.515180502,15.38059522,288.2166978,73.4253667,1.271718563,21,1331100,15.9377782,64.5,215011,1.00158,77.915,41.6
DO,5.812880445,100,16.55971848,12.57576408,2.429209493,42.42434872,2.346,3.958570579,2.046789885,93.76412964,93.79360199,268179.1,1.046460513,16.48010921,51.01114492,48.68557235,5.227288926,15.71393903,383916253,29.07733665,14.80000019,1951483,1.005259991,81.828,43.7
TP,22.74835992,85.59183502,10.42367182,40.05523742,0.406011541,7.530679443,4.023,16.4147346,6.792950153,64.2109375,71.86872101,268179.1,1.963835583,18.22368928,83.68898169,25.55480834,14.18536438,22.2,16399628226,29.37277795,33.40000153,892937,1.027629972,30.947,28.7
